Test#, Command line                                      , Result
Test#, Command line                                      , Result
43," tesseract ""images\font_size_images\font_size_48_test.png"" ""images\font_size_images\font_size_48_test"" -l eng -c page_separator="""" ", PASS
44," tesseract ""images\font_size_images\font_size_49_test.png"" ""images\font_size_images\font_size_49_test"" -l eng -c page_separator="""" ", PASS
45," tesseract ""images\font_size_images\font_size_50_test.png"" ""images\font_size_images\font_size_50_test"" -l eng -c page_separator="""" ", PASS
46," tesseract ""images\font_size_images\font_size_51_test.png"" ""images\font_size_images\font_size_51_test"" -l eng -c page_separator="""" ", PASS
47," tesseract ""images\font_size_images\font_size_52_test.png"" ""images\font_size_images\font_size_52_test"" -l eng -c page_separator="""" ", PASS
48," tesseract ""images\font_size_images\font_size_53_test.png"" ""images\font_size_images\font_size_53_test"" -l eng -c page_separator="""" ", PASS
49," tesseract ""images\font_size_images\font_size_54_test.png"" ""images\font_size_images\font_size_54_test"" -l eng -c page_separator="""" ", PASS
50," tesseract ""images\font_size_images\font_size_55_test.png"" ""images\font_size_images\font_size_55_test"" -l eng -c page_separator="""" ", PASS
51," tesseract ""images\font_size_images\font_size_56_test.png"" ""images\font_size_images\font_size_56_test"" -l eng -c page_separator="""" ", PASS
52," tesseract ""images\font_size_images\font_size_57_test.png"" ""images\font_size_images\font_size_57_test"" -l eng -c page_separator="""" ", PASS
53," tesseract ""images\font_size_images\font_size_58_test.png"" ""images\font_size_images\font_size_58_test"" -l eng -c page_separator="""" ", PASS
54," tesseract ""images\font_size_images\font_size_59_test.png"" ""images\font_size_images\font_size_59_test"" -l eng -c page_separator="""" ", PASS
55," tesseract ""images\font_size_images\font_size_60_test.png"" ""images\font_size_images\font_size_60_test"" -l eng -c page_separator="""" ", PASS
56," tesseract ""images\font_size_images\font_size_61_test.png"" ""images\font_size_images\font_size_61_test"" -l eng -c page_separator="""" ", PASS
57," tesseract ""images\font_size_images\font_size_62_test.png"" ""images\font_size_images\font_size_62_test"" -l eng -c page_separator="""" ", PASS
58," tesseract ""images\font_size_images\font_size_63_test.png"" ""images\font_size_images\font_size_63_test"" -l eng -c page_separator="""" ", PASS
59," tesseract ""images\font_size_images\font_size_64_test.png"" ""images\font_size_images\font_size_64_test"" -l eng -c page_separator="""" ", PASS
60," tesseract ""images\font_size_images\font_size_65_test.png"" ""images\font_size_images\font_size_65_test"" -l eng -c page_separator="""" ", PASS
61," tesseract ""images\font_size_images\font_size_66_test.png"" ""images\font_size_images\font_size_66_test"" -l eng -c page_separator="""" ", PASS
62," tesseract ""images\font_size_images\font_size_67_test.png"" ""images\font_size_images\font_size_67_test"" -l eng -c page_separator="""" ", PASS
63," tesseract ""images\font_size_images\font_size_68_test.png"" ""images\font_size_images\font_size_68_test"" -l eng -c page_separator="""" ", PASS
64," tesseract ""images\font_size_images\font_size_69_test.png"" ""images\font_size_images\font_size_69_test"" -l eng -c page_separator="""" ", PASS
65," tesseract ""images\font_size_images\font_size_70_test.png"" ""images\font_size_images\font_size_70_test"" -l eng -c page_separator="""" ", PASS
66," tesseract ""images\font_size_images\font_size_71_test.png"" ""images\font_size_images\font_size_71_test"" -l eng -c page_separator="""" ", PASS
67," tesseract ""images\font_size_images\font_size_72_test.png"" ""images\font_size_images\font_size_72_test"" -l eng -c page_separator="""" ", PASS
68," tesseract ""images\fonts_images\ahronbd_38_english.png"" ""images\fonts_images\ahronbd_38_english"" -l eng -c page_separator="""" ", PASS
69," tesseract ""images\fonts_images\georgia_38_english.png"" ""images\fonts_images\georgia_38_english"" -l eng -c page_separator="""" ", PASS
70," tesseract ""images\fonts_images\arial_38_english.png"" ""images\fonts_images\arial_38_english"" -l eng -c page_separator="""" ", PASS
71," tesseract ""images\fonts_images\Gisha_38_english.png"" ""images\fonts_images\Gisha_38_english"" -l eng -c page_separator="""" ", PASS
72," tesseract ""images\fonts_images\ariblk_38_english.png"" ""images\fonts_images\ariblk_38_english"" -l eng -c page_separator="""" ", PASS
73," tesseract ""images\fonts_images\gishabd_38_english.png"" ""images\fonts_images\gishabd_38_english"" -l eng -c page_separator="""" ", PASS
74," tesseract ""images\fonts_images\impact_38_english.png"" ""images\fonts_images\impact_38_english"" -l eng -c page_separator="""" ", FAIL
75," tesseract ""images\fonts_images\bahnschrift_38_english.png"" ""images\fonts_images\bahnschrift_38_english"" -l eng -c page_separator="""" ", PASS
76," tesseract ""images\fonts_images\calibri_38_english.png"" ""images\fonts_images\calibri_38_english"" -l eng -c page_separator="""" ", PASS
77," tesseract ""images\fonts_images\Inkfree_38_english.png"" ""images\fonts_images\Inkfree_38_english"" -l eng -c page_separator="""" ", FAIL
78," tesseract ""images\fonts_images\cambria_38_english.png"" ""images\fonts_images\cambria_38_english"" -l eng -c page_separator="""" ", PASS
79," tesseract ""images\fonts_images\lvnm_38_english.png"" ""images\fonts_images\lvnm_38_english"" -l eng -c page_separator="""" ", FAIL
80," tesseract ""images\fonts_images\lvnmbd_38_english.png"" ""images\fonts_images\lvnmbd_38_english"" -l eng -c page_separator="""" ", FAIL
81," tesseract ""images\fonts_images\cambria_38_english.png"" ""images\fonts_images\cambria_38_english"" -l eng -c page_separator="""" ", PASS
